"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"POL","Poland","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.49700001,,
"PRT","Portugal","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.56599998,,
"PRT","Portugal","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.565,,
"PRT","Portugal","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.57700002,,
"PRT","Portugal","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.55800003,,
"SVK","Slovak Republic","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.45699999,,
"SVK","Slovak Republic","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.456,,
"SVK","Slovak Republic","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.45100001,,
"SVK","Slovak Republic","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.45500001,,
"ESP","Spain","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.41100001,,
"ESP","Spain","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.41,,
"ESP","Spain","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.41100001,,
"ESP","Spain","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.41299999,,
"TUR","Turkey","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.69800001,,
"TUR","Turkey","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.70099998,,
"TUR","Turkey","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.71100003,,
"TUR","Turkey","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.69400001,,
"GBR","United Kingdom","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.461,,
"GBR","United Kingdom","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.46700001,,
"GBR","United Kingdom","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.472,,
"GBR","United Kingdom","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.46900001,,
"USA","United States","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.38800001,,
"USA","United States","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.38299999,,
"USA","United States","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.37799999,,
"USA","United States","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.37400001,,
"SVN","Slovenia","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.56599998,,
"SVN","Slovenia","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.58200002,,
"SVN","Slovenia","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.59500003,,
"SVN","Slovenia","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.61199999,,
"EST","Estonia","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.40400001,,
"EST","Estonia","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.38100001,,
"EST","Estonia","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.37599999,,
"EST","Estonia","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.38800001,,
"LTU","Lithuania","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.463,,
"LTU","Lithuania","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.44999999,,
"LTU","Lithuania","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.44499999,,
"LTU","Lithuania","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.51599997,,
"ROU","Romania","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.43900001,,
"ROU","Romania","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.47099999,,
"ROU","Romania","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.472,,
"ROU","Romania","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.49599999,,
"LVA","Latvia","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.49000001,,
"LVA","Latvia","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.52399999,,
"LVA","Latvia","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.50400001,,
"LVA","Latvia","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.48199999,,
"ISR","Israel","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.412,,
"ISR","Israel","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.417,,
"ISR","Israel","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.42399999,,
"ISR","Israel","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.42699999,,
"ISR","Israel","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.56,,
"ISR","Israel","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.56400001,,
"ISR","Israel","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.57200003,,
"ISR","Israel","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.57700002,,
"CHL","Chile","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.44100001,,
"CHL","Chile","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.43000001,,
"CHL","Chile","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.428,,
"CHL","Chile","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.43200001,,
"CHL","Chile","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.70999998,,
"CHL","Chile","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.67400002,,
"CHL","Chile","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.671,,
"CHL","Chile","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.67799997,,
